blurryunique,,"RT @KraksTV: Just because it's Friday 

#TGIF https://t.co/u8WNviguuG",['TGIF']
iameghe,,RT @ceec_official1: Hi friends can I get 2k retweet today #TGIF #BBNaija #CeeC https://t.co/Lbw4Ky3Oe8,"['TGIF', 'BBNaija', 'CeeC']"
AlliedDrinks,East Sussex,Happy Friday. Send Coffee.. No Seriously.. #Coffee #FridayFeeling #TGIF #SendCoffee #CoffeeMachines #AlliedDrinks https://t.co/rQtxEi9FVh,"['Coffee', 'FridayFeeling', 'TGIF', 'SendCoffee', 'CoffeeMachines', 'AlliedDrinks']"
OfficialTrillV,,"Guys check out #Coffee  @kelvynboymusic nice single here 🎼🌊🎼
https://t.co/woBD5dCa84
#Africa #Afrobeat #Afroswing… https://t.co/KYEjhkJdCR","['Coffee', 'Africa', 'Afrobeat', 'Afroswing']"
AlexCornwell2,,"When life has you down, keep your head up, there's always hope. Look at Gandalf; he fell down a chasm with a shadow… https://t.co/Y8NaFV6Qef",[]
Starlitesmog,"Louisville, KY",Been a long ass week. #TGIF,['TGIF']
petalofflower,London,RT @FFShades: #fridayfreebie we are giving away a pair of #our #Neon LED #Sunglasses today! Simply #Retweet &amp; #Follow by 8pm to enter! #com…,"['fridayfreebie', 'our', 'Neon', 'Sunglasses', 'Retweet', 'Follow']"
jpncat,,RT @mistythemoggie: Friyay! Today I'm having a stare out with the local competition 😼 #caturday early #tgif #weekend #FridayFeeling #ff #je…,"['caturday', 'tgif', 'weekend', 'FridayFeeling', 'ff']"
PrettyBoyKely,Ghana,"RT @KraksTV: Just because it's Friday 

#TGIF https://t.co/u8WNviguuG",['TGIF']
dianestar17,"Kent, UK",RT @FFShades: #fridayfreebie we are giving away a pair of #our #Neon LED #Sunglasses today! Simply #Retweet &amp; #Follow by 8pm to enter! #com…,"['fridayfreebie', 'our', 'Neon', 'Sunglasses', 'Retweet', 'Follow']"
FabioGiovanni_,"London, England","Dress-down #Friday - Italian style.

#FridayFeeIing #TGIF #ItalianStyle #FabioGiovanni #ShirtSpecialist https://t.co/B3dXKKvaT4","['Friday', 'FridayFeeIing', 'TGIF', 'ItalianStyle', 'FabioGiovanni', 'ShirtSpecialist']"
SquareAnthony,Philadelphia  PA,"Holding a grudge like a secret, only hoes do dat! Lol... Good Morning tho 💙 #TGIF",['TGIF']
lisemai,Paris en Pologne,Ta Gueule It's Friday #TGIF,['TGIF']
PureWashrooms,Coventry and the Midlands,Just got to hang in there for one more day... #TGIF https://t.co/UWruqDLE1V,['TGIF']
BabyElephantSR,Cambodia,"#TGIF! If that doesn't call for #wine by the pool, we don't know what does! #winedown #weekend #siemreap https://t.co/4iWKoeckxj","['TGIF', 'wine', 'winedown', 'weekend', 'siemreap']"
Forest_Cottages,,#TGIF: Celebrate the week that has been with nothing but tasty foods and chilled drinks in the serenity of our eye-… https://t.co/xUaLSIe4vu,['TGIF']
GillianBva,"Dublin City, Ireland",#TGIF Have a great weekend! #FridayFeelings https://t.co/SMHjAAeMNg,"['TGIF', 'FridayFeelings']"
